epoch,accuracy,loss,learning_rate
0,0.002,1.122,0.05
5,0.597,1.416,0.0499999000002
10,0.744,0.503,0.0499997750010125
15,0.739,0.854,0.049999650002449984
20,0.847,0.484,0.04999952500451246
25,0.994,0.387,0.04999940000719992
30,0.868,0.221,0.04999927501051235
35,0.994,0.197,0.04999915001444976
40,0.994,0.140,0.04999902501901213
45,0.994,0.127,0.049998900024199475
50,0.994,0.112,0.049998775030011766
55,0.994,0.100,0.049998650036449016
60,0.994,0.089,0.049998525043511224
65,0.994,0.080,0.04999840005119836
70,0.994,0.075,0.049998275059510454
75,0.994,0.069,0.04999815006844747
80,0.994,0.065,0.04999802507800943
85,0.994,0.061,0.049997900088196295
90,0.994,0.057,0.0499977750990081
95,0.994,0.054,0.04999765011044482
100,0.994,0.052,0.04999752512250644
105,0.994,0.049,0.04999740013519297
110,0.994,0.047,0.04999727514850441
115,0.994,0.045,0.049997150162440746
120,0.994,0.044,0.04999702517700197
125,0.994,0.042,0.04999690019218808
130,0.994,0.041,0.04999677520799909
135,0.994,0.039,0.04999665022443497
140,0.994,0.038,0.049996525241495726
145,0.994,0.037,0.04999640025918134
150,0.994,0.036,0.049996275277491835
155,0.994,0.035,0.04999615029642718
160,0.996,0.034,0.04999602531598738
165,0.996,0.033,0.04999590033617244
170,0.996,0.032,0.04999577535698233
175,0.996,0.032,0.04999565037841708
180,0.996,0.031,0.04999552540047666
185,0.996,0.030,0.04999540042316107
190,0.996,0.030,0.04999527544647031
195,0.996,0.029,0.04999515047040437
200,0.996,0.029,0.04999502549496326
205,0.996,0.028,0.04999490052014695
210,0.996,0.028,0.04999477554595545
215,0.996,0.027,0.04999465057238875
220,0.996,0.027,0.049994525599446865
225,0.996,0.027,0.049994400627129766
230,0.996,0.026,0.04999427565543746
235,0.996,0.026,0.04999415068436994
240,0.996,0.026,0.049994025713927186
245,0.996,0.025,0.049993900744109226
250,0.996,0.025,0.04999377577491602
255,0.996,0.025,0.0499936508063476
260,0.996,0.024,0.049993525838403934
